CodMun,UF,Cod UF,Mun,Pop estimada 2021,Faixa_pop,Regiao,Mpeg02,Mpeg03,Mpeg04,Mpeg05,Mpeg051,Mpeg06
1100015,RO,11,Alta Floresta DOeste,22516,4 - 20001 até 50000,1 - Norte,Não,Masculino,40,Branca,Sim,Especialização
1100023,RO,11,Ariquemes,111148,6 - 100001 até 500000,1 - Norte,Não,Feminino,33,Branca,Sim,Ensino superior completo
1100031,RO,11,Cabixi,5067,2 - 5001 até 10000,1 - Norte,Sim,Masculino,50,Parda,Não,Ensino superior completo
1100049,RO,11,Cacoal,86416,5 - 50001 até 100000,1 - Norte,Não,Masculino,35,Parda,Sim,Ensino superior completo
1100056,RO,11,Cerejeiras,16088,3 - 10001 até 20000,1 - Norte,Sim,Feminino,57,Branca,Não,Ensino superior completo
1100064,RO,11,Colorado do Oeste,15213,3 - 10001 até 20000,1 - Norte,Sim,Masculino,56,Parda,Não,Ensino superior completo
1100072,RO,11,Corumbiara,7052,2 - 5001 até 10000,1 - Norte,Sim,Masculino,36,Branca,Não,Ensino superior completo
1100080,RO,11,Costa Marques,19255,3 - 10001 até 20000,1 - Norte,Sim,Masculino,41,Parda,Não,Ensino médio (2º Grau) completo
1100098,RO,11,Espigão DOeste,33009,4 - 20001 até 50000,1 - Norte,Não,Masculino,55,Parda,Não,Especialização
1100106,RO,11,Guajará-Mirim,46930,4 - 20001 até 50000,1 - Norte,Não,Feminino,28,Branca,Não,Ensino superior completo
1100114,RO,11,Jaru,51469,5 - 50001 até 100000,1 - Norte,Sim,Masculino,29,Branca,Não,Ensino superior incompleto
1100122,RO,11,Ji-Paraná,131026,6 - 100001 até 500000,1 - Norte,Não,Masculino,52,Parda,Não,Ensino superior incompleto
1100130,RO,11,Machadinho DOeste,41724,4 - 20001 até 50000,1 - Norte,Não,Masculino,55,Branca,Sim,Ensino médio (2º Grau) completo
1100148,RO,11,Nova Brasilândia DOeste,20504,4 - 20001 até 50000,1 - Norte,Sim,Masculino,46,Branca,Sim,Ensino médio (2º Grau) completo
1100155,RO,11,Ouro Preto do Oeste,35445,4 - 20001 até 50000,1 - Norte,Não,Masculino,56,Branca,Não,Ensino médio (2º Grau) completo
1100189,RO,11,Pimenta Bueno,37098,4 - 20001 até 50000,1 - Norte,Sim,Masculino,51,Branca,Não,Ensino superior completo
1100205,RO,11,Porto Velho,548952,7 - Maior que 500000,1 - Norte,Sim,Masculino,53,Parda,Não,Ensino superior completo
1100254,RO,11,Presidente Médici,18165,3 - 10001 até 20000,1 - Norte,Sim,Masculino,45,Parda,Não,Ensino superior completo
1100262,RO,11,Rio Crespo,3843,1 - Até 5000,1 - Norte,Sim,Masculino,54,Parda,Não,Ensino médio (2º Grau) completo
